,Quotes,Characters
21322,Negative Sailor Moon  Were goin for a sleigh ride,Leela
21333,A lotta Bender fell outta the crows nest  We need to cut the line,Fry
21334,Enough of your mad obsession with Bender Fry Weve got to murder that whale or die trying,Leela
21336,Thats it  I warned you Fry Zoidberg I now pronounce you man and,Leela
21338,Unsit me Mr Conrad We cant let the whale win Hiyah  You do know Im stabbing at thee right,Leela
21346,Like that Bible guy who got swallowed by the whale Pinocchio,Fry
21349,For the last time Im not obsessed I just want this whale to die die die,Leela
21351,Holy crap Fourdimensional bowels,Fry
21355,Its a great mammal  Who said that,Leela
21357,Ew Im Turanga Leela captain of the current Planet Express ship Whats going on,Leela
21359,Wow Are you grosslooking Go on,Leela
21365,How many times do I have to tell other people Im not obsessed,Leela
21386,Hello everyone I suppose youre wonderin why my flesh has melded with that of a giant space whale,Leela
21388,At first I was consumed by a dark obsession to kill the whale Then I was consumed by the whale,Leela
21392,You see beneath my obsession lay an even deeper obsession An obsession so strong it allowed me to overpower the beasts will and pilot it through space and time An obsession With completing my  delivery,Leela
21395,Too bad Cause hes still alive,Leela
21402,I shouldve listened to my crew  It was the obsession of me and others like me that made it into a monster,Leela
21404,On the other hand the stupid fish did eat us You guys wanna do this,Leela
21409,After centuries as a delivery boy nothin surprises me,Fry
21412,Alright Ill take the red rocket,Fry
21413,Hello Pizza delivery for  One time was funny But every week for ten years not as funny,Fry
21415,And And then they burst out laughing a second time  Ive been a delivery boy for a thousand years Isnt there any room for promotion around here,Fry
21418,Well could I at least get some encouragement I could use a shot in the arm  I got shot in the leg,Fry
21436,I do love a man in uniform  I mean a uniform that doesnt involve short pants,Leela
21437,I can see I have no future here My only option is to resign with dignity  Here are my shorts,Fry
21438,Hello Id like to enrol in Police Academy,Fry
21442,I can see that Youre quite a bit taller than me,Fry
21446,Wow That would be impressive if you were a Human,Fry
21471,That dangerous 3D planet Cant we just send our avatars,Leela
21473,Whoa Fifteen miles over the speed of light,Fry
21481,DNA and career chip please,Fry
21484,The cat Is it alive or dead  Alive or dead,Fry
21495,I cant make out a thing,Leela
21497,Just deliver the package and lets get outta here,Leela
21499,Oh Youre the chef are you  Then why dont you make us something nice to eat,Leela
21502,Thats ridiculous Only horoscopes can predict the future,Fry
21507,On account of its like hes floating in a jar,Fry
21520,Youre under arrest for future murder,Fry
21524,He was gonna murder you marry your parakeets and then poison them with an arseniclaced cuttlebone,Fry
21529,Wow I cant believe it One more promotion and Ill be a real detective Like Sherlock Holmes or Speed Buggy,Fry
21533,In a minute I just wanna finish this paperless work,Fry
21535,Hello Anyone  Theres never a cop around when you need one,Fry
21537,The thief seems to be some sorta ghost Or is he  Bender,Fry
21543,Awful We had nothing to say to each other  So we had to listen to Benders Eagles album for twentyseven hours,Leela
21546,Hubbahubba Your pants go almost all the way to your ankles,Leela
21547,Good afternoon individuals  Sir would you mind stepping outta the building,Fry
21549,Bender be honest with me Are you planning a big heist,Fry
21551,I only ask cause the oracle thinks youre gonna pull of a major theft next Thursday,Fry
21553,Are you familiar with this particular location,Fry
21555,Does the word Maltese mean anything to you,Fry
21557,Bender Im only tellin you this so you can avoid committing the crime,Fry
21559,You wrote Commit the crime,Fry
21560,Theres gotta be some way to stop Bender  Thats me I recognise the face,Fry
21562,No No What have I will have done,Fry
21564,Are you gonna turn me in for concealing evidence,Fry
21571,I would never shoot Bender Never He taught me how to shave,Fry
21573,I could never shoot you Never You taught me how to shave,Fry
21579,So if I dont shoot Bender all my other friends will die,Fry
21581,Somethin is not right I refuse to believe it Rewind,Fry
21587,Thats all the proof I need  Put the bottle back,Fry
21589,Bender no You dont have to do something just cause its gonna happen The futures making a chump outta you,Fry
21591,Yes I stopped the crime without shooting you The oracle was wrong,Fry
21602,Funny thing about destiny  Oh nuts,Fry
21608,I knew somethin was wrong but I couldnt put my finger on it Then it hit me  Bender would never share,Fry
21610,So we set up this little charade based on an episode of Speed Buggy,Fry
21613,Well I got my shield for stopping Bender  But then I got fired for tipping off Bender,Fry
21615,Ruh Really Um I dont suppose theres any chance I can get a promotion,Fry
21619,I feel better about myself,Fry
21627,So thats where babies sweaters come from,Fry
21637,Man I wish we had a Robot to do stuff,Fry
21650,Does that mean they only do 60 of the work you do or that they actually do more work because theyre only 60 as lazy,Leela
21665,Dont feel bad sir Its not your fault You probably just inherited your appearance from your mother,Fry
21678,I just like having the end locker Its not like Amy cares about it at all But no she wont trade with me,Leela
21708,Bender How could you be so lazy and irresponsible,Leela
21716,Wait a second All Benders are powered by alcohol,Leela
21721,Crisis averted Without alcohol the Benders are dying off,Leela
21724,Things really worked out nicely this time,Leela
21731,How can this be I thought the Benders drank all the alcohol in the world,Leela
21742,I guess this is a Not so bad As long as we dont need to use our mental Mental,Leela
21745,No listen I freakin love you But I dont throw that word around,Fry
21747,Hes here for revenging Thats why,Fry
21749,For your looks  Nice one,Leela
21766,Blunder Youre the only one whos sober You gotta do somethin,Fry
21768,Please Stop the monster Just do that one thing,Fry
21770,What if I folded the Professors sweaters for you,Fry
21798,Looks like its full of dig dogs,Fry
21802,I didnt do it Bender did you learn a lesson about not bein lazy while the rest of us were bombed out of our gourds,Fry
21820,Once and for all Fry even though its the future most objects are still just objects Not Aliens who look like objects,Leela
21821,So my efforts to establish diplomatic relations with the cactus people were doomed from the start,Fry
21828,Careful Leela  He knows less about Human anatomy than I do And I cant even find my own uterus,Fry
21831,It wasnt unavoidable  You just had to stop cutting my spine when I yelled Stop Youre cutting my spine,Leela
21840,But my jaundice has progressed a Muppet gangrene Its not easy being gangrenous,Fry
21843,Oh yeah Well Ive got news for ya Im not stayin like this Youre the Doctor,Fry
21853,It wasnt a shark It was an awful incompetent doctor,Leela
21862,I consider myself a reasonable man Quick with a joke Slow to anger But Bender cant go on long car trips anymore an I say Zoidberg must die,Fry
21873,Weve had it with Zoidberg  We demand you fire him,Leela
21880,Is he blackmailing you somehow,Leela
21896,Im sorry to break it to you this way but we hate you and we never wanna see you again,Leela
21902,We dunno why the Professor keeps you around here and we dont care  Nobody wants to see you ever again,Fry
21928,What are you doing there,Leela
21931,Lets go you murderer Fry help me lock im up,Leela
21932,Hang on Im learnin how to do loopdeloops,Fry
21945,Zoidberg we were wrong  Were letting you out so you can kill the Professor,Leela
21948,Then we have no choice Well have to mercykill the Professor ourselves,Leela
21970,We all have to share in the guilt  Which is why were each going to add one drop of cyanide to the death wheel as it goes by,Leela
21984,I am so so sorry for how we treated you,Leela
21985,And to make it up to you were killing the Professor for you so he doesnt die horribly from hypermalaria,Fry
21987,Hmmm I consider myself almost completely ignorant of modern medicine  And Ive never heard of Yetiism,Fry
21993,My God Hes like some kinda believable Hulk,Fry
22012,Wait Isnt today the parade Its just a giant balloon,Leela
22015,I feel better now  Why is so many different parades smooshed together,Fry
22016,Its the Parade Day parade,Leela
22019,Now we just combine them all into one big Parade Day parade and get it over with,Leela
22025,Oh no Its heading right for those two nerds,Leela
22033,Uh Heroes dont do drugs Except for Drugman I guess,Fry
22035,It sure was nice of the Mayors wife to have sex with me  Huh,Fry
22039,No no Well yes actually,Fry
22054,He did it  He actually did it this time,Fry
22062,Fry as his only friend you should have first pick of body parts,Leela
22064,He always had my back so Ill take his arm uh As a backscratcher  I love you Bender Somebody hand me a bolt cutter,Fry
22097,What the  No Not the armpits Winters coming,Fry
22100,Help I was attacked in my bathroom By my bathroom Im being haunted by a ghost,Fry
22105,Im tellin ya Somethin supernatural is happening Im scared to death,Fry
22106,Stop being ridiculous Theres no such thing as whatever youre saying,Leela
22108,Whoa Maybe youre right I only meant to slap you twice,Leela
22109,All I know is Ive got a ghost that needs busting,Fry
22123,A Robot ghost What Robot would wanna haunt me,Fry
22129,Please Im under constant attack by machinery I cant sleep I cant think I cant even think,Fry
22133,So quiet So peaceful Time to lower my guard even for a minute  Yup I was right,Fry
22143,The machines Theyre after me,Fry
22145,I guess its for the best  Bender,Fry
22147,Now that hes gone I realise how valuable a Robot life can be When it belongs to my best friend,Fry
22152,Well yank my beard This be a surprise,Fry
22154,Thank you for asking English My life is simple but plain And though Bender be gone somehow I feel hes still with me,Fry
22174,And Scruffys buffet Hows that going,Fry
22180,Are you okay What just happened,Leela
22181,Well I think the Robot Devil said hed loved me in Benders voice wearing Granny Hesters clothes I wanna go home,Fry
